Name,Origin,Starting Affiliation,End of S1,End of S2,End of S3,End of S4,End of S5,End of S6,End of S7,Episodes
Tyrion Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,61
Cersei Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,58
Daenerys Targaryen,House Targaryen,Viserys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,56
Jon Snow,House Stark,King Robert Baratheon,Night's Watch,Wildlings,Night's Watch,Night's Watch,Deceased,"Jon Snow, King in the North",Daenerys Targaryen,56
Sansa Stark,House Stark,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,"Petyr Baelish, Lord Protector of the Vale","Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",54
Arya Stark,House Stark,King Robert Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Essos","Other, Essos","Jon Snow, King in the North","Jon Snow, King in the North",53
Jaime Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,49
Jorah Mormont,House Stark,Viserys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,48
Theon Greyjoy,House Greyjoy,King Robert Baratheon,"Robb Stark, King in the North","Balon Greyjoy, King of the Iron Islands",King Joffrey Baratheon,King Tommen Baratheon,"Balon Greyjoy, King of the Iron Islands",Daenerys Targaryen,Daenerys Targaryen,43
Samwell Tarly,House Tyrell,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,43
Petyr 'Littlefinger' Baelish,House Arryn,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale",Deceased,41
Lord Varys,Essos,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,41
Brienne of Tarth,House Baratheon,King Robert Baratheon,King Renly Baratheon,"Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",37
Davos Seaworth,House Baratheon,King Robert Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,"Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",36
Bran Stark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",35
Bronn,Westeros,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,34
Missandei,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,34
Sandor 'The Hound' Clegane,House Lannister,King Robert Baratheon,King Joffrey Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros",Brotherhood Without Banners,Brotherhood Without Banners,"Jon Snow, King in the North",33
Grand Maester Pycelle,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,31
Eddison Tollett,House Arryn,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,30
Podrick Payne,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,"Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",30
Melisandre,Essos,"Other, Essos",King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros",28
Tormund Giantsbane,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,"Jon Snow, King in the North","Jon Snow, King in the North",28
Grey Worm,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,28
Tywin Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,27
Margaery Tyrell,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,26
Joffrey Baratheon,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,26
Catelyn Stark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,25
Barristan Selmy,House Targaryen,King Robert Baratheon,"Other, Essos","Other, Essos",Daenerys Targaryen,Daenerys Targaryen,Deceased,Deceased,Deceased,25
Stannis Baratheon,House Baratheon,King Robert Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,24
Gilly,Wildlings,Wildlings,Wildlings,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,24
Hodor,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,23
Grenn,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,22
Robb Stark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,21
Loras Tyrell,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,21
Shae,Essos,"Other, Essos",King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,20
Ramsay Bolton,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,20
Roose Bolton,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,19
Alliser Thorne,House Targaryen,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,19
Gendry,House Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Brotherhood Without Banners,"Jon Snow, King in the North",19
Qyburn,Westeros,"Other, Westeros","Other, Westeros","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,19
Daario Naharis,Essos,"Other, Essos","Other, Essos","Other, Essos",Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,21
Olenna Tyrell,House Tyrell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Daenerys Targaryen,Deceased,18
Tommen Baratheon,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,26
Ygritte,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,Deceased,Deceased,17
Jaqen H'ghar,Essos,"Other, Essos",Night's Watch,King Joffrey Baratheon,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",17
Olly,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,Night's Watch,Night's Watch,Deceased,Deceased,17
Meryn Trant,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,Deceased,Deceased,Deceased,17
Osha,Wildlings,Wildlings,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,16
Meera Reed,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",16
Lancel Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,High Sparrow,Deceased,Deceased,16
Janos Slynt,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,15
Wun Wun,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,15
Maester Luwin,House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,14
Yara Greyjoy,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Daenerys Targaryen,Daenerys Targaryen,14
Gregor Clegane,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,16
Ros,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,Deceased,Deceased,Deceased,14
Rickon Stark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,14
Othell Yarwyck,House Lannister,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,14
Ellaria Sand,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Sand Snakes,Sand Snakes,Daenerys Targaryen,Daenerys Targaryen,13
Rodrik Cassel,House Stark,King Robert Baratheon,"Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,13
Mace Tyrell,House Tyrell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,13
Pypar,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,13
Irri,Essos,Khal Drogo,Daenerys Targaryen,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,13
High Sparrow,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",High Sparrow,Deceased,Deceased,12
Jeor Mormont,House Stark,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,12
Kevan Lannister,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,12
Rast,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,12
Hot Pie,Westeros,"Other, Westeros",Night's Watch,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",12
Talisa Stark,Essos,"Other, Essos","Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,11
Maester Aemon,House Targaryen,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,11
The Waif,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",Deceased,Deceased,11
Doreah,Essos,"Other, Essos",Daenerys Targaryen,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,11
Eddard 'Ned' Stark,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,11
Thoros of Myr,House Baratheon,King Robert Baratheon,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,"Jon Snow, King in the North",10
Selyse Baratheon,House Baratheon,King Robert Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,12
Jojen Reed,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros",Deceased,Deceased,Deceased,Deceased,10
Shireen Baratheon,House Baratheon,King Robert Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,10
Bowen Marsh,House Stark,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,10
Khal Drogo,Essos,Khal Drogo,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,10
Beric Dondarrion,House Baratheon,King Robert Baratheon,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,"Jon Snow, King in the North",9
Tyene Sand,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Sand Snakes,Sand Snakes,Daenerys Targaryen,Deceased,9
Yohn Royce,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",9
Renly Baratheon,House Baratheon,King Robert Baratheon,King Renly Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,8
Edmure Tully,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,8
Locke,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,8
Obara Sand,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Sand Snakes,Sand Snakes,Daenerys Targaryen,Deceased,8
Hizdahr zo Loraq,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Deceased,Deceased,Deceased,8
Nymeria Sand,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Sand Snakes,Sand Snakes,Daenerys Targaryen,Deceased,8
Maester Wolkan,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North","Jon Snow, King in the North","Jon Snow, King in the North",8
Septa Unella,Westeros,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,High Sparrow,Queen Cersei Lannister,Queen Cersei Lannister,8
Myranda,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,8
Kovarro,Essos,Khal Drogo,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,Daenerys Targaryen,8
Robin Arryn,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),"Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Petyr Baelish, Lord Protector of the Vale","Jon Snow, King in the North",8
Myrcella Baratheon,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,Deceased,Deceased,Deceased,14
Robert Baratheon,House Baratheon,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,7
Oberyn Martell,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,7
Yoren,Westeros,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,7
Brynden 'Blackfish' Tully,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,7
Olyvar,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",7
Qhono,Essos,Other Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Dothraki,Daenerys Targaryen,Daenerys Targaryen,7
Rakharo,Essos,Essos Slavers,Essos Slavers,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,7
Marei,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",7
Walder Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,6
Benjen Stark,House Stark,Night's Watch,Night's Watch,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,6
Euron Greyjoy,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Euron Greyjoy, King of the Iron Islands",Queen Cersei Lannister,6
Orell,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,Deceased,Deceased,Deceased,6
Areo Hotah,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,6
Septa Mordane,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,6
